foveation,distance,a_acc,a_conf_correct,a_conf_incorrect,a_acc_std,a_conf_correct_std,a_conf_incorrect_std,ax_acc,ax_acc_std,ax_conf_correct,ax_conf_correct_std,ax_conf_incorrect,ax_conf_incorrect_std,xax_acc,xax_acc_std,xax_conf_correct,xax_conf_correct_std,xax_conf_incorrect,xax_conf_incorrect_std
cm-light,10,0.249,0.5668314170975044,0.25273756702218486,0.0,0.0,0.0,0.2346,0.005641118880348308,0.5547855822245472,0.009734717407721567,0.22744745872069533,0.0022635095752028644,0.193,0.0055976185412488924,0.5444563322298838,0.012624415934540958,0.23565440762678708,0.00382176813818033
cm-light,20,0.249,0.5668314170975044,0.25273756702218486,0.0,0.0,0.0,0.23559999999999998,0.005966573556070513,0.554576734659227,0.009087903719266465,0.22725872432061026,0.002043546186063045,0.19240000000000002,0.0063104851019729295,0.5426470260028806,0.011837594915179188,0.23641516542483595,0.003940447995231531
cm-light,30,0.249,0.5668314170975044,0.25273756702218486,0.0,0.0,0.0,0.2347,0.005207899981971827,0.5556783681007731,0.007747907723176753,0.2269788804338749,0.0019110590363122196,0.1916,0.0063104851019729295,0.5429076641639047,0.012444454026943656,0.23612765744991343,0.004019484120837422
cm-light,50,0.249,0.5668314170975044,0.25273756702218486,0.0,0.0,0.0,0.23569999999999997,0.005034326612809739,0.5521564295029503,0.00659016318233261,0.22671021591576285,0.0019494613331310767,0.18989999999999999,0.005762908216439957,0.5426889125990455,0.012594432929276703,0.2356147123518728,0.004104374703560557
cm-nosal,5,0.298,0.6257704803907631,0.25245141432464036,0.0,0.0,0.0,0.2996,0.003864367132317187,0.5923336251679201,0.006418608837846605,0.23149115613751464,0.0015335343887651707,0.2672,0.003047767853509992,0.5678553117236269,0.009973886773297004,0.23888396670128653,0.004228038433367761
cm-nosal,10,0.298,0.6257704803907631,0.25245141432464036,0.0,0.0,0.0,0.2993,0.0034976182372199165,0.59359966341212,0.006361517439475773,0.2312393339629885,0.0015963557679944148,0.2684,0.0026331223544175356,0.5664717746933421,0.008781019752923417,0.23945155257869297,0.004521372573716659
cm-nosal,20,0.298,0.6257704803907631,0.25245141432464036,0.0,0.0,0.0,0.2994,0.0037771241264574155,0.5961453541023761,0.006360233467005197,0.2308052883910146,0.0018371480426563672,0.2691,0.0036040101122068054,0.5681639931971612,0.00941130417224944,0.23961662461749983,0.0046939472422587464
cm-nosal,30,0.298,0.6257704803907631,0.25245141432464036,0.0,0.0,0.0,0.3004,0.00403319558993445,0.5958595658061785,0.007283547862668387,0.23126597782125513,0.0018838832528417409,0.2695,0.0026352313834736517,0.5704999178539342,0.009673241517599677,0.2404627296195084,0.0051889615907154745
cm-nosal,50,0.298,0.6257704803907631,0.25245141432464036,0.0,0.0,0.0,0.3013,0.003713339317768969,0.5947531146905177,0.005799425129216076,0.23183919934194114,0.0017675596166592642,0.26850000000000007,0.003865804501581071,0.5718267305444227,0.01042436571637237,0.24142419361848727,0.0052073650725820795
cm-strong,5,0.309,0.6531698736558068,0.24469152187278922,0.0,0.0,0.0,0.3055,0.005661762583821015,0.6276804002741938,0.010956058680267338,0.23331735942989212,0.0027404896969926724,0.2759,0.006261877602693213,0.6078655889499008,0.010180801693190331,0.23646754006107576,0.0041753489546523725
cm-strong,10,0.309,0.6531698736558068,0.24469152187278922,0.0,0.0,0.0,0.30569999999999997,0.004191260749066646,0.6283134473859392,0.009728130096483135,0.23324404113928682,0.0027117474506058183,0.2753,0.006464432603785795,0.6100152446546084,0.0102731898683902,0.2368257818974988,0.003906558170832024
cm-strong,20,0.309,0.6531698736558068,0.24469152187278922,0.0,0.0,0.0,0.30770000000000003,0.0038020462326957024,0.6279870200332726,0.009094640722817729,0.23336924256420608,0.002344546297109669,0.27460000000000007,0.005561774297230447,0.6127547698786249,0.008786905831671599,0.23828783907779397,0.003735383581684895
cm-strong,30,0.309,0.6531698736558068,0.24469152187278922,0.0,0.0,0.0,0.3077,0.004110960958218897,0.6296423620165427,0.00912185031402557,0.2336851818364801,0.002126164137699587,0.2739,0.005363456596884751,0.6157177592308681,0.0076231039097630505,0.2393943047365712,0.0038459961406282915
cm-strong,50,0.309,0.6531698736558068,0.24469152187278922,0.0,0.0,0.0,0.30789999999999995,0.004201851443775183,0.6293257720822497,0.008621268321381092,0.23379036311573165,0.002064286715443506,0.2741,0.005566766466171254,0.6148035079539651,0.009149801207280402,0.2400297979747406,0.0035778908904617814
