label,class_name,accuracy,mean_mask_area,std_mask_area,min_mask_area,max_mask_area,q05_mask_area,q95_mask_area,n_samples,mean_conf
669,mosquito_net,76.0,0.44360137328505517,0.1709809234503168,0.095338188111782,0.9556996822357178,0.16151394322514528,0.7223940014839171,50,0.6959856788814068
755,radio_telescope,74.0,0.23373006028588858,0.1950961581558589,0.0032108433078974,0.9054453372955322,0.033099793270230285,0.6347762852907181,50,0.6347219647467136
974,geyser,74.0,0.2035536082834005,0.14604646659426515,0.0246986672282218,0.6677280068397522,0.03786640036851161,0.4696917325258254,50,0.710241779088974
780,schooner,74.0,0.2767278986796736,0.10920902827176508,0.023098150268197,0.4398350417613983,0.06852355394512408,0.42148544192314147,50,0.6786173984408379
959,carbonara,74.0,0.4076247312687337,0.22061800527209638,0.010506666265428,0.7948266863822937,0.06812196578830478,0.7658223718404769,50,0.6917744281888009
100,black_swan,74.0,0.22009663898497817,0.1551501140931203,0.0179414637386798,0.6471174955368042,0.02283108746632927,0.4851542189717293,50,0.6309158912301064
874,trolleybus,74.0,0.24788071028888223,0.13298033087863628,0.0191200003027915,0.6630079746246338,0.07033919990062709,0.4588429301977157,50,0.6187578529119492
289,snow_leopard,74.0,0.40392770431935787,0.2132342291371763,0.0257066674530506,0.9379253387451172,0.07918661721050739,0.8033018976449964,50,0.61487578779459
324,cabbage_butterfly,74.0,0.12381773451343175,0.07436838996632739,0.0083284312859177,0.3438228964805603,0.02066929517313832,0.234169889986515,50,0.7023451048135757
991,coral_fungus,74.0,0.27991660378873345,0.19836651821244414,0.0399805828928947,0.9954936504364014,0.05834046639502045,0.5821942597627638,50,0.6742885135114193
553,file,74.0,0.10310216405079696,0.23210553865827693,0.0004746666527353,0.9108480215072632,0.001013583160238305,0.6224532514810561,50,0.6660944743454457
102,echidna,72.0,0.2588241473212838,0.18590596191247924,0.0212960001081228,0.8476373553276062,0.049762667529284925,0.6024463087320328,50,0.5842269970476628
916,web_site,72.0,0.7711608251929283,0.239688787678775,0.1682260930538177,0.996972680091858,0.3114879235625267,0.9874621391296388,50,0.6288501712679863
540,drilling_platform,72.0,0.17930876232683654,0.1266758536409153,0.0079459454864263,0.5006399750709534,0.019087200704961952,0.3938535690307615,50,0.6037568704783917
430,basketball,72.0,0.012429429194889915,0.018341669039316465,0.0006047904025763,0.1024251505732536,0.001313333312282275,0.04609117452055209,50,0.637007132768631
535,disk_brake,72.0,0.1986251230165362,0.1406055843645699,0.0233866665512323,0.5731256008148193,0.03463575793430204,0.4585651487112044,50,0.6703069400787354
937,broccoli,72.0,0.24697581861633805,0.23113225392768635,0.0012941176537424,0.9101741909980774,0.02748768497258417,0.6764198422431944,50,0.6089665780961514
992,agaric,72.0,0.22855820103548463,0.17862765072439332,0.0013439999893307,0.8538560271263123,0.021437029587104896,0.5808040171861647,50,0.7172309474647045
863,totem_pole,72.0,0.2503639606013894,0.22371490216215945,0.02468266710639,0.9720826745033264,0.03227280024439091,0.7098536163568495,50,0.5910586143285036
